player_name,position_group
Matz Sels,Goalkeeper
Mike Maignan,Goalkeeper
Unai Simón,Goalkeeper
Yann Sommer,Goalkeeper
David Raya,Goalkeeper
Jan Oblak,Goalkeeper
Emiliano Martínez,Goalkeeper
Gianluigi Donnarumma,Goalkeeper
Alisson,Goalkeeper
Thibaut Courtois,Goalkeeper
Jurriën Timber,Fullback
Denzel Dumfries,Fullback
Jeremie Frimpong,Fullback
Federico Dimarco,Fullback
Alejandro Balde,Fullback
Alphonso Davies,Fullback
Nuno Mendes,Fullback
Jules Koundé,Fullback
Trent Alexander-Arnold,Fullback
Achraf Hakimi,Fullback
Dean Huijsen,Centre-back
Murillo,Centre-back
Ibrahima Konaté,Centre-back
Marquinhos,Centre-back
Pau Cubarsí,Centre-back
Alessandro Bastoni,Centre-back
Gabriel Magalhães,Centre-back
Antonio Rüdiger,Centre-back
William Saliba,Centre-back
Virgil van Dijk,Centre-back
Sandro Tonali,Central midfield
Aurélien Tchouaméni,Central midfield
Fabián Ruiz,Central midfield
Rodrigo De Paul,Central midfield
Frenkie de Jong,Central midfield
João Neves,Central midfield
Ryan Gravenberch,Central midfield
Bruno Guimarães,Central midfield
Joshua Kimmich,Central midfield
Nicolò Barella,Central midfield
Vitinha,Central midfield
Alexis Mac Allister,Central midfield
Federico Valverde,Central midfield
Declan Rice,Central midfield
Pedri,Central midfield
Thiago Almada,Attacking midfield
Oihan Sancet,Attacking midfield
Eberechi Eze,Attacking midfield
Morgan Rogers,Attacking midfield
Scott McTominay,Attacking midfield
Isco,Attacking midfield
Morgan Gibbs-White,Attacking midfield
Xavi Simons,Attacking midfield
Dominik Szoboszlai,Attacking midfield
Bruno Fernandes,Attacking midfield
Cole Palmer,Attacking midfield
Martin Ødegaard,Attacking midfield
Jamal Musiala,Attacking midfield
Florian Wirtz,Attacking midfield
Jude Bellingham,Attacking midfield
Bryan Mbeumo,Winger
Giuliano Simeone,Winger
Christian Pulisic,Winger
Cody Gakpo,Winger
Rafael Leão,Winger
Ademola Lookman,Winger
Désiré Doué,Winger
Bradley Barcola,Winger
Luis Díaz,Winger
Michael Olise,Winger
Rodrygo,Winger
Nico Williams,Winger
Lionel Messi,Winger
Khvicha Kvaratskhelia,Winger
Bukayo Saka,Winger
Ousmane Dembélé,Winger
Vinícius Júnior,Winger
Raphinha,Winger
Lamine Yamal,Winger
Mohamed Salah,Winger
Benjamin Šeško,Forward
Kai Havertz,Forward
Jonathan David,Forward
Chris Wood,Forward
Matheus Cunha,Forward
Cristiano Ronaldo,Forward
Marcus Thuram,Forward
Omar Marmoush,Forward
Victor Osimhen,Forward
Mateo Retegui,Forward
Antoine Griezmann,Forward
Serhou Guirassy,Forward
Viktor Gyökeres,Forward
Julián Álvarez,Forward
Alexander Isak,Forward
Lautaro Martínez,Forward
Erling Haaland,Forward
Harry Kane,Forward
Robert Lewandowski,Forward
Kylian Mbappé,Forward
