player_name,rank
Lamine Yamal,1
Erling Haaland,2
Harry Kane,3
Ousmane Dembélé,4
Kylian Mbappé,5
Raphinha,6
Pedri,7
Khvicha Kvaratskhelia,8
Nuno Mendes,9
Bukayo Saka,10
Achraf Hakimi,11
Jude Bellingham,12
William Saliba,13
Gianluigi Donnarumma,14
Gabriel Magalhães,15
Declan Rice,16
Mohamed Salah,17
Jamal Musiala,18
João Neves,19
Julián Álvarez,20
Michael Olise,21
Trent Alexander-Arnold,22
Cole Palmer,23
Vitinha,24
Virgil van Dijk,25
Rodri,26
Joshua Kimmich,27
Désiré Doué,28
Moisés Caicedo,29
Frenkie de Jong,30
Vinícius Júnior,31
Jurriën Timber,32
Ryan Gravenberch,33
Jules Koundé,34
Alisson,35
Thibaut Courtois,36
Alexander Isak,37
Bruno Fernandes,38
Luis Díaz,39
Marquinhos,40
Joan García,41
Lautaro Martínez,42
Scott McTominay,43
Federico Valverde,44
Alessandro Bastoni,45
David Raya,46
Dominik Szoboszlai,47
Fabián Ruiz,48
Florian Wirtz,49
Lionel Messi,50
Alejandro Balde,51
Denzel Dumfries,52
Nicolò Barella,53
Josko Gvardiol,54
Antoine Semenyo,55
Alphonso Davies,56
Bruno Guimarães,57
Sandro Tonali,58
Willian Pacho,59
Rodrygo,60
Bryan Mbeumo,61
Federico Dimarco,62
Martín Zubimendi,63
Mike Maignan,64
Viktor Gyökeres,65
Álex Grimaldo,66
Bradley Barcola,67
Aurélien Tchouaméni,68
Robert Lewandowski,69
Rúben Dias,70
Alexis Mac Allister,71
Rafael Leão,72
Yann Sommer,73
Dani Olmo,74
Jan Oblak,75
Antonio Rüdiger,76
Nico Williams,77
Kenan Yildiz,78
Theo Hernández,79
Morgan Rogers,80
Daniel Muñoz,81
Eberechi Eze,82
Dani Carvajal,83
Granit Xhaka,84
Arda Güler,85
Reece James,86
Riccardo Calafiori,87
Jérémy Doku,88
Marc Cucurella,89
Mile Svilar,90
Miloš Kerkez,91
Pau Cubarsí,92
Tino Livramento,93
Nick Woltemade,94
Álvaro Carreras,95
Hugo Ekitiké,96
Marcus Rashford,97
Tijjani Reijnders,98
Victor Osimhen,99
Mohammed Kudus,100
