player_name,rank
Ousmane Dembélé,1
Lamine Yamal,2
Vitinha,3
Kylian Mbappé,4
Harry Kane,5
Erling Haaland,6
Achraf Hakimi,7
Raphinha,8
Mohamed Salah,9
Pedri,10
Nuno Mendes,11
Cole Palmer,12
Gianluigi Donnarumma,13
Khvicha Kvaratskhelia,14
Declan Rice,15
Désiré Doué,16
João Neves,17
Jude Bellingham,18
Scott McTominay,19
Lautaro Martínez,20
Michael Olise,21
Vinícius Júnior,22
Virgil van Dijk,23
Robert Lewandowski,24
Julián Álvarez,25
Bukayo Saka,26
Fabián Ruiz,27
Viktor Gyökeres,28
Gabriel Magalhães,29
Thibaut Courtois,30
Luis Díaz,31
Moisés Caicedo,32
William Saliba,33
Lionel Messi,34
Alexis Mac Allister,35
Florian Wirtz,36
Federico Valverde,37
Dominik Szoboszlai,38
Serhou Guirassy,39
Denzel Dumfries,40
Ryan Gravenberch,41
Marquinhos,42
Jamal Musiala,43
Willian Pacho,44
Martin Ødegaard,45
Victor Osimhen,46
Enzo Fernández,47
Alexander Isak,48
Alisson,49
Joshua Kimmich,50
Cristiano Ronaldo,51
Hakan Çalhanoğlu,52
Bradley Barcola,53
Alessandro Bastoni,54
Bruno Fernandes,55
Eberechi Eze,56
Nico Williams,57
David Raya,58
Estêvão,59
Frenkie de Jong,60
Phil Foden,61
Nicolò Barella,62
Marc Cucurella,63
Yann Sommer,64
Marcus Thuram,65
Fermín López,66
Hugo Ekitiké,67
Pau Cubarsí,68
Bruno Guimarães,69
Martín Zubimendi,70
Arda Güler,71
Bernardo Silva,72
Kevin De Bruyne,73
Rodri,74
Jérémy Doku,75
João Pedro,76
Bryan Mbeumo,77
Emiliano Martínez,78
Tijjani Reijnders,79
Jules Koundé,80
Mikel Oyarzabal,81
Nick Woltemade,82
André-Frank Zambo Anguissa,83
Rúben Dias,84
Álex Grimaldo,85
Nico Paz,86
Giorgian de Arrascaeta,87
Antoine Semenyo,88
Kenan Yildiz,89
Mikel Merino,90
Rafael Leão,91
Dean Huijsen,92
Josko Gvardiol,93
Manuel Neuer,94
Mason Greenwood,95
Micky van de Ven,96
Antony,97
Trent Alexander-Arnold,98
Federico Dimarco,99
Antoine Griezmann,100
