player_name,name_key,in_ballondor,consensus_count,club,league,position,position_group,nationality,club_season_start,mid_season_tranfers,appearances,minutes,goals,assists,G_plus_A,goals_p90,assists_p90,shots_pg,dribbles,fouled,offsides,dispossessed,key_passes,passes_pg,pass_pct,crosses,long_balls,tackles,interceptions,fouls,clearances,blocks,gk_goals_against,gk_save_pct,gk_clean_sheets,team_league_position,ucl_stage,ucl_stage_ord,Whoscored_Rating
Ousmane Dembélé,ousmane dembele,True,3,Paris Saint-Germain,Ligue 1,Forward,Forward,France,Paris Saint-Germain,0,29.0,1737.0,21.0,6.0,27.0,1.088,0.311,3.3,1.4,0.5,0.3,1.1,2.2,33.7,83.2,1.0,1.2,0.4,0.3,0.3,0.0,0.0,,,,1,Winner,7,7.65
Lamine Yamal,lamine yamal,True,3,Barcelona,La Liga,Forward,Forward,Spain,Barcelona,0,35.0,2864.0,9.0,13.0,22.0,0.283,0.409,4.1,4.6,1.7,0.4,1.4,1.8,40.4,78.9,0.6,0.9,1.2,0.5,0.9,0.1,0.0,,,,1,Semi Final,5,8.01
Vitinha,vitinha,True,3,Paris Saint-Germain,Ligue 1,Midfielder,Midfielder,Portugal,Paris Saint-Germain,0,29.0,2036.0,5.0,1.0,6.0,0.221,0.044,0.9,0.9,0.4,0.0,0.7,0.9,81.7,93.8,0.2,5.2,1.5,0.5,0.3,0.6,0.2,,,,1,Winner,7,7.01
Mohamed Salah,mohamed salah,True,3,Liverpool,Premier League,Forward,Forward,Egypt,Liverpool,0,38.0,3380.0,29.0,18.0,47.0,0.772,0.479,3.4,1.5,1.0,0.5,1.8,2.3,30.4,73.9,0.4,0.7,0.6,0.2,0.7,0.1,0.0,,,,1,Round of 16,3,7.61
Raphinha,raphinha,True,3,Barcelona,La Liga,Forward,Forward,Brazil,Barcelona,0,36.0,2845.0,18.0,9.0,27.0,0.569,0.285,3.2,1.4,1.0,0.3,0.8,2.5,34.8,79.5,1.5,1.3,1.0,0.3,0.3,0.6,0.1,,,,1,Semi Final,5,7.62
Achraf Hakimi,achraf hakimi,True,3,Paris Saint-Germain,Ligue 1,Defender,Defender,Morocco,Paris Saint-Germain,0,25.0,2068.0,4.0,6.0,10.0,0.174,0.261,1.3,1.0,1.0,0.3,0.6,2.0,76.3,90.9,0.7,1.6,1.9,1.2,0.8,0.6,0.1,,,,1,Winner,7,7.3
Kylian Mbappé,kylian mbappe,True,3,Real Madrid,La Liga,Forward,Forward,France,Real Madrid,0,34.0,2917.0,31.0,3.0,34.0,0.956,0.093,4.7,2.4,1.2,1.3,1.4,1.5,32.2,85.3,0.2,1.3,0.2,0.0,0.7,0.0,0.0,,,,2,Quarter Final,4,7.75
Cole Palmer,cole palmer,True,3,Chelsea,Premier League,Midfielder,Midfielder,England,Chelsea,0,37.0,3199.0,15.0,8.0,23.0,0.422,0.225,3.4,1.4,1.6,0.2,1.0,2.4,35.4,83.1,0.9,2.5,0.9,0.3,0.4,0.5,0.0,,,,4,Not Qualified,0,7.33
Gianluigi Donnarumma,gianluigi donnarumma,True,3,Paris Saint-Germain,Ligue 1,Goalkeeper,Goalkeeper,Italy,Paris Saint-Germain,0,24.0,2092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,22.6,85.4,0.0,2.6,0.0,0.1,0.0,1.6,0.0,25.0,66.7,4.0,1,Winner,7,7.06
Nuno Mendes,nuno mendes,True,3,Paris Saint-Germain,Ligue 1,Defender,Defender,Portugal,Paris Saint-Germain,0,24.0,1676.0,1.0,3.0,4.0,0.054,0.161,0.9,1.3,1.0,0.0,0.9,1.3,54.4,88.6,0.9,2.2,1.3,0.8,0.5,1.4,0.3,,,,1,Winner,7,7.03
Pedri,pedri,True,3,Barcelona,La Liga,Midfielder,Midfielder,Spain,Barcelona,0,37.0,2897.0,4.0,5.0,9.0,0.124,0.155,0.7,1.1,1.4,0.1,0.9,1.9,72.2,89.0,0.3,3.9,1.6,0.7,0.3,0.3,0.1,,,,1,Semi Final,5,7.16
Khvicha Kvaratskhelia,khvicha kvaratskhelia,True,3,Paris Saint-Germain,Ligue 1,Forward,Forward,Georgia,Napoli,1,14.0,920.0,4.0,3.0,7.0,0.391,0.293,2.4,1.8,1.3,0.0,1.8,1.8,36.2,89.3,0.7,0.5,1.4,0.1,0.9,0.2,0.0,,,,1,Winner,7,7.34
Harry Kane,harry kane,True,3,Bayern Munich,Bundesliga,Forward,Forward,England,Bayern Munich,0,31.0,2391.0,26.0,8.0,34.0,0.979,0.301,3.7,0.7,0.7,0.5,0.7,1.1,19.9,80.7,0.1,1.3,0.4,0.1,0.3,0.5,0.1,,,,1,Quarter Final,4,7.72
Désiré Doué,desire doue,True,3,Paris Saint-Germain,Ligue 1,Forward,Forward,France,Paris Saint-Germain,0,31.0,1735.0,6.0,6.0,12.0,0.311,0.311,1.8,0.8,1.4,0.0,1.2,1.8,33.2,86.1,0.7,0.8,1.5,0.4,0.9,0.2,0.0,,,,1,Winner,7,7.21
Viktor Gyökeres,viktor gyokeres,True,3,Sporting CP,Liga Portugal,Forward,Forward,Sweden,Sporting CP,0,33.0,2804.0,39.0,7.0,46.0,1.252,0.225,4.2,1.8,2.3,0.3,1.7,1.9,20.5,73.1,0.2,0.1,0.3,0.2,0.7,0.6,0.1,,,,1,Knockout phase play-offs,2,8.08
Vinícius Júnior,vinicius junior,True,3,Real Madrid,La Liga,Forward,Forward,Brazil,Real Madrid,0,30.0,2259.0,11.0,8.0,19.0,0.438,0.319,2.7,2.7,2.3,0.3,1.6,2.0,27.5,79.0,0.4,1.3,0.7,0.1,1.0,0.0,0.0,,,,2,Quarter Final,4,7.23
Robert Lewandowski,robert lewandowski,True,3,Barcelona,La Liga,Forward,Forward,Poland,Barcelona,0,34.0,2682.0,27.0,2.0,29.0,0.906,0.067,3.4,0.6,1.1,0.5,1.3,0.6,15.1,74.7,0.0,0.3,0.3,0.1,0.9,0.8,0.1,,,,1,Semi Final,5,7.27
Scott McTominay,scott mctominay,True,3,Napoli,Serie A,Midfielder,Midfielder,Scotland,Napoli,0,34.0,2941.0,12.0,4.0,16.0,0.367,0.122,2.2,1.1,1.8,0.1,1.4,0.8,26.7,85.1,0.0,1.2,1.3,0.7,1.3,1.5,0.1,,,,1,Not Qualified,0,7.26
João Neves,joao neves,True,3,Paris Saint-Germain,Ligue 1,Midfielder,Midfielder,Portugal,Paris Saint-Germain,0,29.0,1851.0,3.0,8.0,11.0,0.146,0.389,1.0,0.6,1.1,0.1,0.6,1.1,54.1,92.2,0.1,2.2,2.2,0.8,0.6,0.7,0.3,,,,1,Winner,7,7.11
Lautaro Martínez,lautaro martinez,True,3,Inter Milan,Serie A,Forward,Forward,Argentina,Inter Milan,0,31.0,2579.0,12.0,3.0,15.0,0.419,0.105,3.3,0.5,1.4,0.7,1.7,1.2,19.7,76.6,0.1,0.9,1.0,0.3,1.3,0.5,0.1,,,,2,Final,6,7.13
Serhou Guirassy,serhou guirassy,True,2,Borussia Dortmund,Bundesliga,Forward,Forward,Guinea,Borussia Dortmund,0,30.0,2601.0,21.0,2.0,23.0,0.727,0.069,3.0,0.4,1.8,0.4,1.0,0.8,20.8,73.0,0.0,0.3,0.2,0.1,0.5,1.3,0.1,,,,4,Quarter Final,4,7.3
Alexis Mac Allister,alexis mac allister,True,3,Liverpool,Premier League,Midfielder,Midfielder,Argentina,Liverpool,0,35.0,2608.0,5.0,5.0,10.0,0.173,0.173,1.1,0.5,1.1,0.1,0.6,1.3,40.7,87.2,0.6,1.4,2.7,0.6,1.8,0.8,0.2,,,,1,Round of 16,3,7.08
Jude Bellingham,jude bellingham,True,3,Real Madrid,La Liga,Midfielder,Midfielder,England,Real Madrid,0,31.0,2495.0,9.0,8.0,17.0,0.325,0.289,2.0,1.3,2.1,0.3,1.4,1.4,48.7,87.5,0.0,2.2,2.0,0.9,1.1,0.7,0.1,,,,2,Quarter Final,4,7.27
Fabián Ruiz,fabian ruiz,True,3,Paris Saint-Germain,Ligue 1,Midfielder,Midfielder,Spain,Paris Saint-Germain,0,30.0,1923.0,4.0,5.0,9.0,0.187,0.234,1.4,0.5,0.3,0.2,0.5,1.2,52.9,91.0,0.1,2.4,1.2,0.5,0.2,0.8,0.1,,,,1,Winner,7,6.87
Denzel Dumfries,denzel dumfries,True,3,Inter Milan,Serie A,Defender,Defender,Netherlands,Inter Milan,0,29.0,1952.0,7.0,2.0,9.0,0.323,0.092,1.2,0.4,0.6,0.2,0.5,0.7,21.6,76.7,0.5,0.6,0.9,0.2,1.9,0.8,0.3,,,,2,Final,6,6.88
Erling Haaland,erling haaland,True,3,Manchester City,Premier League,Forward,Forward,Norway,Manchester City,0,31.0,2742.0,22.0,3.0,25.0,0.722,0.098,3.5,0.4,0.4,0.1,0.9,0.9,12.1,67.5,0.0,0.1,0.4,0.2,0.8,0.7,0.0,,,,3,Knockout phase play-offs,2,7.32
Declan Rice,declan rice,True,3,Arsenal,Premier League,Midfielder,Midfielder,England,Arsenal,0,35.0,2833.0,4.0,7.0,11.0,0.127,0.222,1.4,0.4,0.5,0.1,0.9,1.7,42.2,89.8,1.3,1.7,1.5,0.7,0.6,1.4,0.4,,,,2,Semi Final,5,7.09
Virgil van Dijk,virgil van dijk,True,3,Liverpool,Premier League,Defender,Defender,Netherlands,Liverpool,0,37.0,3330.0,3.0,1.0,4.0,0.081,0.027,0.7,0.1,0.4,0.0,0.1,0.3,79.0,91.7,0.0,4.2,1.0,1.5,0.5,5.1,0.4,,,,1,Round of 16,3,7.07
Florian Wirtz,florian wirtz,True,3,Bayer Leverkusen,Bundesliga,Midfielder,Midfielder,Germany,Bayer Leverkusen,0,31.0,2357.0,10.0,12.0,22.0,0.382,0.458,2.5,2.6,1.3,0.4,1.5,1.8,51.3,82.3,0.5,1.1,1.0,0.3,0.7,0.2,0.1,,,,2,Round of 16,3,7.5
Michael Olise,michael olise,True,3,Bayern Munich,Bundesliga,Forward,Forward,France,Bayern Munich,0,34.0,2348.0,12.0,15.0,27.0,0.46,0.575,2.5,2.1,1.9,0.1,0.9,2.7,41.4,86.2,1.1,0.8,1.1,0.2,0.6,0.4,0.6,,,,1,Quarter Final,4,7.74
Bukayo Saka,bukayo saka,False,3,Arsenal,Premier League,Forward,Forward,England,Arsenal,0,25.0,1737.0,6.0,10.0,16.0,0.311,0.518,2.7,1.6,1.6,0.3,1.6,2.3,23.9,84.3,1.5,0.3,1.2,0.1,0.6,0.2,0.0,,,,2,Semi Final,5,7.37
Gabriel Magalhães,gabriel magalhaes,False,3,Arsenal,Premier League,Defender,Defender,Brazil,Arsenal,0,28.0,2366.0,3.0,1.0,4.0,0.114,0.038,0.8,0.1,0.7,0.0,0.1,0.5,58.1,90.7,0.0,2.0,0.9,0.6,0.7,3.2,1.0,,,,2,Semi Final,5,6.91
Julián Álvarez,julian alvarez,False,3,Atletico Madrid,La Liga,Forward,Forward,Argentina,Atletico Madrid,0,37.0,2521.0,17.0,4.0,21.0,0.607,0.143,2.0,0.9,0.2,0.2,1.1,1.1,24.0,78.5,0.4,0.9,0.7,0.1,0.7,0.3,0.0,,,,3,Round of 16,3,7.01
William Saliba,william saliba,False,3,Arsenal,Premier League,Defender,Defender,France,Arsenal,0,35.0,3042.0,2.0,0.0,2.0,0.059,0.0,0.2,0.3,0.5,0.0,0.2,0.2,72.8,94.6,0.0,2.0,1.8,0.6,0.8,3.4,0.4,,,,2,Semi Final,5,6.82
Jamal Musiala,jamal musiala,False,3,Bayern Munich,Bundesliga,Midfielder,Midfielder,Germany,Bayern Munich,0,25.0,1807.0,12.0,2.0,14.0,0.598,0.1,2.7,2.9,2.2,0.1,1.3,1.6,36.9,83.5,0.0,0.5,1.4,0.3,0.8,0.2,0.0,,,,1,Quarter Final,4,7.56
Thibaut Courtois,thibaut courtois,False,3,Real Madrid,La Liga,Goalkeeper,Goalkeeper,Belgium,Real Madrid,0,30.0,2700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,28.2,80.3,0.0,2.8,0.0,0.0,0.0,0.8,0.0,29.0,72.6,11.0,2,Quarter Final,4,6.8
Luis Díaz,luis diaz,False,3,Liverpool,Premier League,Forward,Forward,Columbia,Liverpool,0,36.0,2413.0,13.0,5.0,18.0,0.485,0.186,2.0,1.5,0.9,0.3,1.4,1.6,22.9,86.1,0.3,0.9,1.1,0.2,1.3,0.2,0.0,,,,1,Round of 16,3,7.21
Ryan Gravenberch,ryan gravenberch,False,3,Liverpool,Premier League,Midfielder,Midfielder,Netherlands,Liverpool,0,37.0,3169.0,0.0,4.0,4.0,0.0,0.114,0.5,1.0,1.4,0.0,0.7,0.7,51.5,89.5,0.1,1.1,1.9,1.6,1.3,1.5,0.3,,,,1,Round of 16,3,6.94
Joshua Kimmich,joshua kimmich,False,3,Bayern Munich,Bundesliga,Midfielder,Midfielder,Germany,Bayern Munich,0,33.0,2847.0,3.0,6.0,9.0,0.095,0.19,1.0,0.4,0.8,0.1,0.2,2.5,103.8,92.9,1.3,6.0,1.4,0.8,0.5,0.9,0.1,,,,1,Quarter Final,4,7.38
Federico Valverde,federico valverde,False,3,Real Madrid,La Liga,Midfielder,Midfielder,Uruguay,Real Madrid,0,36.0,3034.0,6.0,4.0,10.0,0.178,0.119,1.6,0.4,0.4,0.0,0.0,1.1,60.1,91.1,0.1,3.9,1.4,1.5,0.3,1.4,0.2,,,,2,Quarter Final,4,7.16
Marquinhos,marquinhos,False,3,Paris Saint-Germain,Ligue 1,Defender,Defender,Brazil,Paris Saint-Germain,0,22.0,1725.0,2.0,0.0,2.0,0.104,0.0,0.4,0.1,0.3,0.0,0.0,0.4,82.4,95.1,0.0,4.4,1.4,0.5,0.8,2.8,0.7,,,,1,Winner,7,6.93
Lionel Messi,lionel messi,False,3,Inter Miami,MLS,Forward,Forward,Argentina,Inter Miami,0,20.0,1576.0,21.0,10.0,31.0,1.199,0.571,4.6,2.8,1.4,0.4,2.0,1.9,43.8,80.7,0.4,2.5,0.8,0.1,0.4,0.2,0.1,,,,1,Not Qualified,0,8.32
Alisson,alisson,False,3,Liverpool,Premier League,Goalkeeper,Goalkeeper,Brazil,Liverpool,0,28.0,2509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,29.6,80.7,0.0,3.1,0.0,0.0,0.0,1.1,0.0,29.0,72.6,10.0,1,Round of 16,3,6.8
Dominik Szoboszlai,dominik szoboszlai,False,3,Liverpool,Premier League,Midfielder,Midfielder,Hungary,Liverpool,0,36.0,2496.0,6.0,6.0,12.0,0.216,0.216,1.9,0.6,0.7,0.1,0.6,1.6,34.5,85.8,0.4,1.5,1.1,0.3,1.2,0.4,0.1,,,,1,Round of 16,3,6.89
Alexander Isak,alexander isak,False,3,Newcastle,Premier League,Forward,Forward,Sweden,Newcastle,0,34.0,2774.0,23.0,6.0,29.0,0.746,0.195,2.9,1.2,0.4,0.6,1.6,1.2,19.4,77.1,0.1,0.4,0.4,0.1,0.8,0.5,0.1,,,,5,Not Qualified,0,7.3
Frenkie de Jong,frenkie de jong,False,3,Barcelona,La Liga,Midfielder,Midfielder,Netherlands,Barcelona,0,26.0,1140.0,2.0,2.0,4.0,0.158,0.158,0.2,0.2,0.7,0.0,0.3,0.8,43.8,95.1,0.0,1.5,0.7,0.5,0.5,0.2,0.0,,,,1,Semi Final,5,6.53
Bruno Fernandes,bruno fernandes,False,3,Manchester United,Premier League,Midfielder,Midfielder,Portugal,Manchester United,0,36.0,3024.0,8.0,10.0,18.0,0.238,0.298,2.7,0.8,1.1,0.1,1.2,2.5,56.1,81.5,1.2,4.5,2.3,0.7,0.9,0.8,0.2,,,,15,Not Qualified,0,7.2
Alessandro Bastoni,alessandro bastoni,False,3,Inter Milan,Serie A,Defender,Defender,Italy,Inter Milan,0,33.0,2422.0,1.0,5.0,6.0,0.037,0.186,0.4,0.2,1.2,0.0,0.2,0.8,61.6,90.5,0.8,4.2,1.4,0.7,1.3,1.4,0.4,,,,2,Final,6,6.88
