player_name,trends_link
Ousmane Dembélé,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2COusmane%20Demb%C3%A9l%C3%A9
Lamine Yamal,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CLamine%20Yamal
Vitinha,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CVitinha
Mohamed Salah,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMohamed%20Salah
Raphinha,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CRaphinha
Achraf Hakimi,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAchraf%20Hakimi
Kylian Mbappé,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CKylian%20Mbapp%C3%A9
Cole Palmer,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CCole%20Palmer
Gianluigi Donnarumma,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CGianluigi%20Donnarumma
Nuno Mendes,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CNuno%20Mendes
Pedri,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CPedri
Khvicha Kvaratskhelia,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CKhvicha%20Kvaratskhelia
Harry Kane,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CHarry%20Kane
Désiré Doué,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CD%C3%A9sir%C3%A9%20Dou%C3%A9
Viktor Gyökeres,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CViktor%20Gy%C3%B6keres
Vinícius Júnior,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CVin%C3%ADcius%20J%C3%BAnior
Robert Lewandowski,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CRobert%20Lewandowski
Scott McTominay,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CScott%20McTominay
João Neves,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJo%C3%A3o%20Neves
Lautaro Martínez,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CLautaro%20Mart%C3%ADnez
Serhou Guirassy,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CSerhou%20Guirassy
Alexis Mac Allister,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAlexis%20Mac%20Allister
Jude Bellingham,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJude%20Bellingham
Fabián Ruiz,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CFabi%C3%A1n%20Ruiz
Denzel Dumfries,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CDenzel%20Dumfries
Erling Haaland,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CErling%20Haaland
Declan Rice,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CDeclan%20Rice
Virgil van Dijk,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CVirgil%20van%20Dijk
Florian Wirtz,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CFlorian%20Wirtz
Michael Olise,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMichael%20Olise
Bukayo Saka,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CBukayo%20Saka
Gabriel Magalhães,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CGabriel%20Magalh%C3%A3es
Julián Álvarez,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJuli%C3%A1n%20%C3%81lvarez
William Saliba,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CWilliam%20Saliba
Jamal Musiala,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJamal%20Musiala
Thibaut Courtois,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CThibaut%20Courtois
Luis Díaz,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CLuis%20D%C3%ADaz
Ryan Gravenberch,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CRyan%20Gravenberch
Joshua Kimmich,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CJoshua%20Kimmich
Federico Valverde,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CFederico%20Valverde
Marquinhos,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CMarquinhos
Lionel Messi,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CLionel%20Messi
Alisson,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAlisson
Dominik Szoboszlai,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CDominik%20Szoboszlai
Alexander Isak,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAlexander%20Isak
Frenkie de Jong,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CFrenkie%20de%20Jong
Bruno Fernandes,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CBruno%20Fernandes
Alessandro Bastoni,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CAlessandro%20Bastoni
David Raya,https://trends.google.com/trends/explore?date=2024-08-01%202025-07-13&q=Cristiano%20Ronaldo%2CDavid%20Raya
