player_name,google_trends
André-Frank Zambo Anguissa,0.6
Giorgian de Arrascaeta,1.33
Jude Bellingham,16.13
Thibaut Courtois,4.27
Hakan Çalhanoğlu,2.25
Denzel Dumfries,1.34
Emiliano Martínez,4.07
Gabriel Magalhães,1.32
Serhou Guirassy,1.63
Josko Gvardiol,1.13
Achraf Hakimi,0.97
João Pedro,3.13
João Neves,1.9
Khvicha Kvaratskhelia,4.32
Lautaro Martínez,3.78
Tino Livramento,0.6
Alexis Mac Allister,1.51
Marcus Thuram,2.49
Marquinhos,1.51
Scott McTominay,2.52
Michael Olise,2.5
Dani Olmo,6.11
Mikel Oyarzabal,0.91
Reece James,1.13
Declan Rice,3.48
Rúben Dias,1.1
Yann Sommer,1.84
Theo Hernández,2.36
Virgil van Dijk,4.34
Florian Wirtz,6.34
Lamine Yamal,25.48
Alisson,2.36
Thiago Almada,1.57
Julián Álvarez,5.1
Antony,6.87
Alejandro Balde,1.86
Bradley Barcola,2.11
Nicolò Barella,1.21
Alessandro Bastoni,1.06
Bernardo Silva,1.41
Bruno Fernandes,3.6
Bruno Guimarães,0.8
Moisés Caicedo,1.37
Riccardo Calafiori,1.95
Álvaro Carreras,1.55
Dani Carvajal,3.24
Pau Cubarsí,3.21
Marc Cucurella,2.72
Matheus Cunha,2.69
Alphonso Davies,1.75
Kevin De Bruyne,8.02
Rodrigo De Paul,1.57
Frenkie de Jong,2.32
Ousmane Dembélé,1.15
Federico Dimarco,1.16
Jérémy Doku,1.37
Gianluigi Donnarumma,3.77
Désiré Doué,4.65
Hugo Ekitiké,1.24
Enzo Fernández,2.76
Estêvão,2.24
Eberechi Eze,1.42
Fabián Ruiz,1.59
Fermín López,2.0
Phil Foden,4.22
Jeremie Frimpong,1.95
Cody Gakpo,1.48
Morgan Gibbs-White,0.96
Ryan Gravenberch,1.04
Mason Greenwood,2.65
Antoine Griezmann,4.38
Álex Grimaldo,0.87
Arda Güler,7.1
Viktor Gyökeres,9.62
Erling Haaland,16.63
Kai Havertz,2.45
Dean Huijsen,3.51
Alexander Isak,4.02
Isco,1.93
Joan García,1.3
Jonathan David,1.71
Harry Kane,6.36
Miloš Kerkez,1.47
Joshua Kimmich,2.18
Ibrahima Konaté,1.38
Jules Koundé,2.32
Mohammed Kudus,1.15
Rafael Leão,3.23
Robert Lewandowski,13.01
Ademola Lookman,2.31
Luis Díaz,3.8
Mike Maignan,1.21
Omar Marmoush,5.19
Kylian Mbappé,44.05
Bryan Mbeumo,3.01
Mikel Merino,2.57
Lionel Messi,100.0
Daniel Muñoz,0.62
Murillo,0.64
Jamal Musiala,5.96
Manuel Neuer,3.73
Nico Williams,7.48
Nuno Mendes,1.98
Jan Oblak,1.05
Martin Ødegaard,2.61
Victor Osimhen,13.71
Willian Pacho,1.34
Cole Palmer,8.41
Nico Paz,1.72
Pedri,5.48
Christian Pulisic,2.2
Raphinha,6.43
Marcus Rashford,7.34
David Raya,1.14
Tijjani Reijnders,1.93
Mateo Retegui,1.59
Rodri,8.31
Rodrygo,6.18
Morgan Rogers,1.03
Antonio Rüdiger,3.33
Bukayo Saka,5.33
Mohamed Salah,2.94
William Saliba,2.05
Oihan Sancet,0.7
Matz Sels,0.55
Antoine Semenyo,0.63
Benjamin Šeško,1.94
Giuliano Simeone,1.41
Unai Simón,0.91
Mile Svilar,0.57
Dominik Szoboszlai,2.0
Aurélien Tchouaméni,1.5
Jurriën Timber,0.84
Sandro Tonali,1.23
Trent Alexander-Arnold,7.03
Federico Valverde,3.55
Micky van de Ven,0.97
Vinícius Júnior,18.84
Vitinha,2.01
Nick Woltemade,1.43
Chris Wood,1.36
Xavi Simons,1.53
Granit Xhaka,1.15
Kenan Yildiz,3.3
Martín Zubimendi,2.65
Cristiano Ronaldo,41.33
