player_name,month,trends_rel
André-Frank Zambo Anguissa,2024-07,0.0111
André-Frank Zambo Anguissa,2024-08,0.0167
André-Frank Zambo Anguissa,2024-09,0.0133
André-Frank Zambo Anguissa,2024-10,0.0111
André-Frank Zambo Anguissa,2024-11,0.0111
André-Frank Zambo Anguissa,2024-12,0.0111
André-Frank Zambo Anguissa,2025-01,0.0195
André-Frank Zambo Anguissa,2025-02,0.0139
André-Frank Zambo Anguissa,2025-03,0.0111
André-Frank Zambo Anguissa,2025-04,0.0167
André-Frank Zambo Anguissa,2025-05,0.0167
André-Frank Zambo Anguissa,2025-06,0.0222
André-Frank Zambo Anguissa,2025-07,0.0111
Giorgian de Arrascaeta,2024-07,0.0222
Giorgian de Arrascaeta,2024-08,0.0334
Giorgian de Arrascaeta,2024-09,0.0311
Giorgian de Arrascaeta,2024-10,0.0222
Giorgian de Arrascaeta,2024-11,0.0334
Giorgian de Arrascaeta,2024-12,0.0222
Giorgian de Arrascaeta,2025-01,0.0222
Giorgian de Arrascaeta,2025-02,0.0278
Giorgian de Arrascaeta,2025-03,0.0267
Giorgian de Arrascaeta,2025-04,0.0334
Giorgian de Arrascaeta,2025-05,0.0445
Giorgian de Arrascaeta,2025-06,0.0623
Giorgian de Arrascaeta,2025-07,0.0222
Jude Bellingham,2024-07,0.4224
Jude Bellingham,2024-08,0.4724
Jude Bellingham,2024-09,0.4002
Jude Bellingham,2024-10,0.4057
Jude Bellingham,2024-11,0.3112
Jude Bellingham,2024-12,0.3735
Jude Bellingham,2025-01,0.3779
Jude Bellingham,2025-02,0.5113
Jude Bellingham,2025-03,0.3246
Jude Bellingham,2025-04,0.3668
Jude Bellingham,2025-05,0.3168
Jude Bellingham,2025-06,0.4713
Jude Bellingham,2025-07,0.289
Thibaut Courtois,2024-07,0.0667
Thibaut Courtois,2024-08,0.1
Thibaut Courtois,2024-09,0.1423
Thibaut Courtois,2024-10,0.1056
Thibaut Courtois,2024-11,0.0778
Thibaut Courtois,2024-12,0.0711
Thibaut Courtois,2025-01,0.0723
Thibaut Courtois,2025-02,0.0945
Thibaut Courtois,2025-03,0.1245
Thibaut Courtois,2025-04,0.1501
Thibaut Courtois,2025-05,0.1
Thibaut Courtois,2025-06,0.0978
Thibaut Courtois,2025-07,0.1112
Hakan Çalhanoğlu,2024-07,0.0222
Hakan Çalhanoğlu,2024-08,0.0445
Hakan Çalhanoğlu,2024-09,0.0534
Hakan Çalhanoğlu,2024-10,0.0612
Hakan Çalhanoğlu,2024-11,0.0556
Hakan Çalhanoğlu,2024-12,0.0311
Hakan Çalhanoğlu,2025-01,0.0389
Hakan Çalhanoğlu,2025-02,0.0222
Hakan Çalhanoğlu,2025-03,0.04
Hakan Çalhanoğlu,2025-04,0.05
Hakan Çalhanoğlu,2025-05,0.089
Hakan Çalhanoğlu,2025-06,0.0979
Hakan Çalhanoğlu,2025-07,0.1001
Denzel Dumfries,2024-07,0.0111
Denzel Dumfries,2024-08,0.0139
Denzel Dumfries,2024-09,0.0178
Denzel Dumfries,2024-10,0.0167
Denzel Dumfries,2024-11,0.0195
Denzel Dumfries,2024-12,0.02
Denzel Dumfries,2025-01,0.0222
Denzel Dumfries,2025-02,0.0167
Denzel Dumfries,2025-03,0.02
Denzel Dumfries,2025-04,0.0667
Denzel Dumfries,2025-05,0.0945
Denzel Dumfries,2025-06,0.0534
Denzel Dumfries,2025-07,0.0445
Emiliano Martínez,2024-07,0.089
Emiliano Martínez,2024-08,0.0723
Emiliano Martínez,2024-09,0.1379
Emiliano Martínez,2024-10,0.1112
Emiliano Martínez,2024-11,0.0723
Emiliano Martínez,2024-12,0.1023
Emiliano Martínez,2025-01,0.0612
Emiliano Martínez,2025-02,0.0612
Emiliano Martínez,2025-03,0.0801
Emiliano Martínez,2025-04,0.089
Emiliano Martínez,2025-05,0.1835
Emiliano Martínez,2025-06,0.1157
Emiliano Martínez,2025-07,0.0778
Gabriel Magalhães,2024-07,0.0222
Gabriel Magalhães,2024-08,0.0222
Gabriel Magalhães,2024-09,0.0489
Gabriel Magalhães,2024-10,0.0333
Gabriel Magalhães,2024-11,0.0333
Gabriel Magalhães,2024-12,0.04
Gabriel Magalhães,2025-01,0.0333
Gabriel Magalhães,2025-02,0.0278
Gabriel Magalhães,2025-03,0.04
Gabriel Magalhães,2025-04,0.0333
Gabriel Magalhães,2025-05,0.0222
Gabriel Magalhães,2025-06,0.02
Gabriel Magalhães,2025-07,0.0222
Serhou Guirassy,2024-07,0.0222
Serhou Guirassy,2024-08,0.0222
Serhou Guirassy,2024-09,0.0356
Serhou Guirassy,2024-10,0.0278
Serhou Guirassy,2024-11,0.0222
Serhou Guirassy,2024-12,0.0267
Serhou Guirassy,2025-01,0.0278
Serhou Guirassy,2025-02,0.0556
Serhou Guirassy,2025-03,0.0378
Serhou Guirassy,2025-04,0.1167
Serhou Guirassy,2025-05,0.0333
Serhou Guirassy,2025-06,0.0445
Serhou Guirassy,2025-07,0.0222
Josko Gvardiol,2024-07,0.0222
Josko Gvardiol,2024-08,0.0222
Josko Gvardiol,2024-09,0.0311
Josko Gvardiol,2024-10,0.0389
Josko Gvardiol,2024-11,0.0278
Josko Gvardiol,2024-12,0.0267
Josko Gvardiol,2025-01,0.0334
Josko Gvardiol,2025-02,0.0389
Josko Gvardiol,2025-03,0.0222
Josko Gvardiol,2025-04,0.0222
Josko Gvardiol,2025-05,0.0222
Josko Gvardiol,2025-06,0.0222
Josko Gvardiol,2025-07,0.0167
Achraf Hakimi,2024-07,0.0445
Achraf Hakimi,2024-08,0.0306
Achraf Hakimi,2024-09,0.0222
Achraf Hakimi,2024-10,0.0195
Achraf Hakimi,2024-11,0.0167
Achraf Hakimi,2024-12,0.0133
Achraf Hakimi,2025-01,0.0167
Achraf Hakimi,2025-02,0.0167
Achraf Hakimi,2025-03,0.0156
Achraf Hakimi,2025-04,0.0195
Achraf Hakimi,2025-05,0.0445
Achraf Hakimi,2025-06,0.0356
Achraf Hakimi,2025-07,0.0333
João Pedro,2024-07,0.0222
João Pedro,2024-08,0.0445
João Pedro,2024-09,0.04
João Pedro,2024-10,0.0139
João Pedro,2024-11,0.0222
João Pedro,2024-12,0.0267
João Pedro,2025-01,0.0334
João Pedro,2025-02,0.0222
João Pedro,2025-03,0.0445
João Pedro,2025-04,0.0195
João Pedro,2025-05,0.025
João Pedro,2025-06,0.1112
João Pedro,2025-07,1.0009
João Neves,2024-07,0.0889
João Neves,2024-08,0.05
João Neves,2024-09,0.0222
João Neves,2024-10,0.0222
