player_name,club_2024_25,league_2024_25,ig_followers,engagement_rate,club_2025_26,league_2025_26,club_ig_followers_2024_25,club_ig_followers_2025_26
Ousmane Dembélé,Paris Saint-Germain,Ligue 1,"22,175,754",8.3,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Lamine Yamal,Barcelona,La Liga,"45,992,501",8.13,Barcelona,La Liga,"145,936,297","145,936,297"
Vitinha,Paris Saint-Germain,Ligue 1,"5,235,860",6.94,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Mohamed Salah,Liverpool,Premier League,"66,754,774",1.98,Liverpool,Premier League,"48,467,485","48,467,485"
Raphinha,Barcelona,La Liga,"20,697,158",4.43,Barcelona,La Liga,"145,936,297","145,936,297"
Achraf Hakimi,Paris Saint-Germain,Ligue 1,"25,150,264",6.77,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Kylian Mbappé,Real Madrid,La Liga,"133,997,321",2.38,Real Madrid,La Liga,"179,140,683","179,140,683"
Cole Palmer,Chelsea,Premier League,"8,532,630",9.88,Chelsea,Premier League,"43,976,708","43,976,708"
Gianluigi Donnarumma,Paris Saint-Germain,Ligue 1,"6,745,048",2.44,Manchester City,Premier League,"66,864,756","56,452,450"
Nuno Mendes,Paris Saint-Germain,Ligue 1,"4,148,487",5.95,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Pedri,Barcelona,La Liga,"22,925,866",3.73,Barcelona,La Liga,"145,936,297","145,936,297"
Khvicha Kvaratskhelia,Paris Saint-Germain,Ligue 1,"8,755,172",16.67,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Harry Kane,Bayern Munich,Bundesliga,"19,185,776",3.41,Bayern Munich,Bundesliga,"44,903,622","44,903,622"
Désiré Doué,Paris Saint-Germain,Ligue 1,"7,216,658",15.0,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Viktor Gyökeres,Sporting CP,Liga Portugal,"4,639,929",12.34,Arsenal,Premier League,"2,979,634","32,288,446"
Vinícius Júnior,Real Madrid,La Liga,"62,646,004",3.57,Real Madrid,La Liga,"179,140,683","179,140,683"
Robert Lewandowski,Barcelona,La Liga,"38,831,213",1.11,Barcelona,La Liga,"145,936,297","145,936,297"
Scott McTominay,Napoli,Serie A,"3,587,630",7.71,Napoli,Serie A,"5,281,032","5,281,032"
João Neves,Paris Saint-Germain,Ligue 1,"3,328,892",15.11,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Lautaro Martínez,Inter Milan,Serie A,"11,954,418",2.48,Inter Milan,Serie A,"14,504,939","14,504,939"
Serhou Guirassy,Borussia Dortmund,Bundesliga,"820,973",4.78,Borussia Dortmund,Bundesliga,"20,544,068","20,544,068"
Alexis Mac Allister,Liverpool,Premier League,"8,871,045",3.47,Liverpool,Premier League,"48,467,485","48,467,485"
Jude Bellingham,Real Madrid,La Liga,"44,337,272",10.0,Real Madrid,La Liga,"179,140,683","179,140,683"
Fabián Ruiz,Paris Saint-Germain,Ligue 1,"1,602,301",5.57,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Denzel Dumfries,Inter Milan,Serie A,"2,079,545",15.36,Inter Milan,Serie A,"14,504,939","14,504,939"
Erling Haaland,Manchester City,Premier League,"60,314,996",7.03,Manchester City,Premier League,"56,452,450","56,452,450"
Declan Rice,Arsenal,Premier League,"6,886,142",11.23,Arsenal,Premier League,"32,288,446","32,288,446"
Virgil van Dijk,Liverpool,Premier League,"17,552,646",2.71,Liverpool,Premier League,"48,467,485","48,467,485"
Florian Wirtz,Bayer Leverkusen,Bundesliga,"5,242,719",6.69,Liverpool,Premier League,"4,602,479","48,467,485"
Michael Olise,Bayern Munich,Bundesliga,"8,856,498",49.3,Bayern Munich,Bundesliga,"44,903,622","44,903,622"
Bukayo Saka,Arsenal,Premier League,"8,137,148",7.53,Arsenal,Premier League,"32,288,446","32,288,446"
Gabriel Magalhães,Arsenal,Premier League,"4,003,911",15.17,Arsenal,Premier League,"32,288,446","32,288,446"
Julián Álvarez,Atletico Madrid,La Liga,"20,399,287",6.45,Atletico Madrid,La Liga,"17,865,213","17,865,213"
William Saliba,Arsenal,Premier League,"3,028,562",11.53,Arsenal,Premier League,"32,288,446","32,288,446"
Jamal Musiala,Bayern Munich,Bundesliga,"7,483,854",2.67,Bayern Munich,Bundesliga,"44,903,622","44,903,622"
Thibaut Courtois,Real Madrid,La Liga,"18,128,183",1.2,Real Madrid,La Liga,"179,140,683","179,140,683"
Luis Díaz,Liverpool,Premier League,"8,589,243",4.73,Bayern Munich,Bundesliga,"48,467,485","44,903,622"
Ryan Gravenberch,Liverpool,Premier League,"2,033,724",5.77,Liverpool,Premier League,"48,467,485","48,467,485"
Joshua Kimmich,Bayern Munich,Bundesliga,"8,783,189",2.49,Bayern Munich,Bundesliga,"44,903,622","44,903,622"
Federico Valverde,Real Madrid,La Liga,"21,685,695",3.88,Real Madrid,La Liga,"179,140,683","179,140,683"
Marquinhos,Paris Saint-Germain,Ligue 1,"7,691,357",2.97,Paris Saint-Germain,Ligue 1,"66,864,756","66,864,756"
Lionel Messi,Inter Miami,MLS,"512,195,678",1.91,Inter Miami,MLS,"18,271,962","18,271,962"
Alisson,Liverpool,Premier League,"9,210,836",2.43,Liverpool,Premier League,"48,467,485","48,467,485"
Dominik Szoboszlai,Liverpool,Premier League,"5,504,148",8.2,Liverpool,Premier League,"48,467,485","48,467,485"
