player_id,player_name,nationality,position_group,club_2024_25,league_2024_25,club_season_start,mid_season_tranfers,club_2025_26,league_2025_26,transferred,moved_up,ig_followers,engagement_rate,google_trends,appearances,minutes,goals,assists,G_plus_A,goals_p90,assists_p90,shots_pg,dribbles,fouled,offsides,dispossessed,key_passes,passes_pg,pass_pct,crosses,long_balls,tackles,interceptions,fouls,clearances,blocks,Whoscored_Rating,gk_goals_against,gk_save_pct,gk_clean_sheets,team_league_position,ucl_stage,ucl_stage_ord,club_ig_followers,club_ig_followers_2024_25,club_ig_followers_2025_26,in_ballondor,consensus_count
P000,Ousmane Dembélé,France,Forward,Paris Saint-Germain,Ligue 1,Paris Saint-Germain,0,Paris Saint-Germain,Ligue 1,0,0,22175754.0,8.3,1.15,29.0,1737.0,21.0,6.0,27.0,1.088,0.311,3.3,1.4,0.5,0.3,1.1,2.2,33.7,83.2,1.0,1.2,0.4,0.3,0.3,0.0,0.0,7.65,,,,1,Winner,7,66864756,66864756,66864756,True,3
P001,Lamine Yamal,Spain,Forward,Barcelona,La Liga,Barcelona,0,Barcelona,La Liga,0,0,45992501.0,8.13,25.48,35.0,2864.0,9.0,13.0,22.0,0.283,0.409,4.1,4.6,1.7,0.4,1.4,1.8,40.4,78.9,0.6,0.9,1.2,0.5,0.9,0.1,0.0,8.01,,,,1,Semi Final,5,145936297,145936297,145936297,True,3
P002,Vitinha,Portugal,Midfielder,Paris Saint-Germain,Ligue 1,Paris Saint-Germain,0,Paris Saint-Germain,Ligue 1,0,0,5235860.0,6.94,2.01,29.0,2036.0,5.0,1.0,6.0,0.221,0.044,0.9,0.9,0.4,0.0,0.7,0.9,81.7,93.8,0.2,5.2,1.5,0.5,0.3,0.6,0.2,7.01,,,,1,Winner,7,66864756,66864756,66864756,True,3
P003,Mohamed Salah,Egypt,Forward,Liverpool,Premier League,Liverpool,0,Liverpool,Premier League,0,0,66754774.0,1.98,2.94,38.0,3380.0,29.0,18.0,47.0,0.772,0.479,3.4,1.5,1.0,0.5,1.8,2.3,30.4,73.9,0.4,0.7,0.6,0.2,0.7,0.1,0.0,7.61,,,,1,Round of 16,3,48467485,48467485,48467485,True,3
P004,Raphinha,Brazil,Forward,Barcelona,La Liga,Barcelona,0,Barcelona,La Liga,0,0,20697158.0,4.43,6.43,36.0,2845.0,18.0,9.0,27.0,0.569,0.285,3.2,1.4,1.0,0.3,0.8,2.5,34.8,79.5,1.5,1.3,1.0,0.3,0.3,0.6,0.1,7.62,,,,1,Semi Final,5,145936297,145936297,145936297,True,3
P005,Achraf Hakimi,Morocco,Defender,Paris Saint-Germain,Ligue 1,Paris Saint-Germain,0,Paris Saint-Germain,Ligue 1,0,0,25150264.0,6.77,0.97,25.0,2068.0,4.0,6.0,10.0,0.174,0.261,1.3,1.0,1.0,0.3,0.6,2.0,76.3,90.9,0.7,1.6,1.9,1.2,0.8,0.6,0.1,7.3,,,,1,Winner,7,66864756,66864756,66864756,True,3
P006,Kylian Mbappé,France,Forward,Real Madrid,La Liga,Real Madrid,0,Real Madrid,La Liga,0,0,133997321.0,2.38,44.05,34.0,2917.0,31.0,3.0,34.0,0.956,0.093,4.7,2.4,1.2,1.3,1.4,1.5,32.2,85.3,0.2,1.3,0.2,0.0,0.7,0.0,0.0,7.75,,,,2,Quarter Final,4,179140683,179140683,179140683,True,3
P007,Cole Palmer,England,Midfielder,Chelsea,Premier League,Chelsea,0,Chelsea,Premier League,0,0,8532630.0,9.88,8.41,37.0,3199.0,15.0,8.0,23.0,0.422,0.225,3.4,1.4,1.6,0.2,1.0,2.4,35.4,83.1,0.9,2.5,0.9,0.3,0.4,0.5,0.0,7.33,,,,4,Not Qualified,0,43976708,43976708,43976708,True,3
P008,Gianluigi Donnarumma,Italy,Goalkeeper,Paris Saint-Germain,Ligue 1,Paris Saint-Germain,0,Manchester City,Premier League,1,0,6745048.0,2.44,3.77,24.0,2092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,22.6,85.4,0.0,2.6,0.0,0.1,0.0,1.6,0.0,7.06,25.0,66.7,4.0,1,Winner,7,66864756,66864756,56452450,True,3
P009,Nuno Mendes,Portugal,Defender,Paris Saint-Germain,Ligue 1,Paris Saint-Germain,0,Paris Saint-Germain,Ligue 1,0,0,4148487.0,5.95,1.98,24.0,1676.0,1.0,3.0,4.0,0.054,0.161,0.9,1.3,1.0,0.0,0.9,1.3,54.4,88.6,0.9,2.2,1.3,0.8,0.5,1.4,0.3,7.03,,,,1,Winner,7,66864756,66864756,66864756,True,3
