,n,mean,std,min,25%,median,75%,max
Instagram followers,144.0,17760119.64,71007810.9,105000.0,1960637.25,4985270.5,9764995.25,674951353.0
Google Trends score,144.0,4.49,9.92,0.55,1.36,2.08,3.78,100.0
Engagement rate (%),137.0,7.61,6.2,0.58,3.22,6.45,9.99,49.3
Goals + assists,144.0,11.94,9.59,0.0,4.0,10.0,17.0,47.0
Key passes (per game),143.0,1.15,0.68,0.0,0.65,1.2,1.6,2.8
Long balls (per game),143.0,1.75,1.54,0.0,0.6,1.3,2.5,7.0
Shots (per game),143.0,1.6,1.13,0.0,0.7,1.5,2.25,4.7
Minutes,143.0,2374.57,663.13,443.0,1953.5,2423.0,2846.0,3420.0
League position,144.0,3.73,3.49,1.0,1.0,2.0,5.0,17.0
UCL stage (ordinal),144.0,2.87,2.34,0.0,0.0,3.0,5.0,7.0
Log club Instagram,144.0,16.72,1.59,13.21,15.33,17.29,17.85,19.0
