player_name,position_group,club_2024_25,league_2024_25,nationality,Whoscored_Rating,log_attention,perf_z,group
Ousmane Dembélé,Forward,Paris Saint-Germain,Ligue 1,France,7.65,16.914510087836646,1.0599464342819975,Top Stars
Lamine Yamal,Forward,Barcelona,La Liga,Spain,8.01,17.64398891942475,2.0720397564067907,Top Stars
Vitinha,Midfielder,Paris Saint-Germain,Ligue 1,Portugal,7.01,15.471041667686547,-0.01790207096161484,Underrated Performers
Mohamed Salah,Forward,Liverpool,Premier League,Egypt,7.61,18.016536373286407,0.9474916207125759,Top Stars
Raphinha,Forward,Barcelona,La Liga,Brazil,7.62,16.845506954123827,0.9756053241049306,Top Stars
Achraf Hakimi,Defender,Paris Saint-Germain,Ligue 1,Morocco,7.3,17.04037895147282,2.3848576054711503,Top Stars
Kylian Mbappé,Forward,Real Madrid,La Liga,France,7.75,18.71333036517802,1.3410834682055506,Top Stars
Cole Palmer,Midfielder,Chelsea,Premier League,England,7.33,15.959408195509813,1.3856202924288201,Top Stars
Gianluigi Donnarumma,Goalkeeper,Paris Saint-Germain,Ligue 1,Italy,7.06,15.724319163981178,2.2715719376569017,Top Stars
Nuno Mendes,Defender,Paris Saint-Germain,Ligue 1,Portugal,7.03,15.238254247418798,0.9030527752934715,Underrated Performers
Pedri,Midfielder,Barcelona,La Liga,Spain,7.16,16.94777635074775,0.6399990368776526,Top Stars
Khvicha Kvaratskhelia,Forward,Paris Saint-Germain,Ligue 1,Georgia,7.34,15.98515516942573,0.18842162911897856,Underrated Performers
Harry Kane,Forward,Bayern Munich,Bundesliga,England,7.72,16.769679729112056,1.2567423580284838,Top Stars
Désiré Doué,Forward,Paris Saint-Germain,Ligue 1,France,7.21,15.791902522820155,-0.17705651498164143,Fan Favourites
Viktor Gyökeres,Forward,Sporting CP,Liga Portugal,Sweden,8.08,15.350209622361227,2.268835680153279,Top Stars
Vinícius Júnior,Forward,Real Madrid,La Liga,Brazil,7.23,17.953010454351144,-0.12082910819692934,Fan Favourites
Robert Lewandowski,Forward,Barcelona,La Liga,Poland,7.27,17.47473493995287,-0.008374294627510102,Fan Favourites
Scott McTominay,Midfielder,Napoli,Serie A,Scotland,7.26,15.09300237532727,1.0785997754371615,Underrated Performers
João Neves,Midfielder,Paris Saint-Germain,Ligue 1,Portugal,7.11,15.018150073856075,0.42069866759789804,Underrated Performers
Lautaro Martínez,Forward,Inter Milan,Serie A,Argentina,7.13,16.29661147512993,-0.4019661421204849,Fan Favourites
Serhou Guirassy,Forward,Borussia Dortmund,Bundesliga,Guinea,7.3,13.618245501170277,0.07596681554955682,Squad Players
Alexis Mac Allister,Midfielder,Liverpool,Premier League,Argentina,7.08,15.998303160198684,0.2891184460300438,Underrated Performers
Jude Bellingham,Midfielder,Real Madrid,La Liga,England,7.27,17.607336235676954,1.1224598492931117,Top Stars
Fabián Ruiz,Midfielder,Paris Saint-Germain,Ligue 1,Spain,6.87,14.286951279098629,-0.6319431049449282,Squad Players
Denzel Dumfries,Defender,Inter Milan,Serie A,Netherlands,6.88,14.54765967774823,0.0798278696392022,Underrated Performers
Erling Haaland,Forward,Manchester City,Premier League,Norway,7.32,17.915091320663123,0.13219422233426892,Fan Favourites
Declan Rice,Midfielder,Arsenal,Premier League,England,7.09,15.745021544218957,0.3329785198859939,Underrated Performers
Virgil van Dijk,Defender,Liverpool,Premier League,Netherlands,7.07,16.68071526574238,1.1225794168012764,Top Stars
Florian Wirtz,Midfielder,Bayer Leverkusen,Bundesliga,Germany,7.5,15.47235081484851,2.1312415479799878,Top Stars
Michael Olise,Forward,Bayern Munich,Bundesliga,France,7.74,15.99666198485192,1.312969764813196,Top Stars
Bukayo Saka,Forward,Arsenal,Premier League,England,7.37,15.911950308034953,0.27276273929604544,Underrated Performers
Gabriel Magalhães,Defender,Arsenal,Premier League,Brazil,6.91,15.20278219139798,0.24447285077005704,Underrated Performers
Julián Álvarez,Forward,Atletico Madrid,La Liga,Argentina,7.01,16.831010507223255,-0.7393305828287501,Fan Favourites
William Saliba,Defender,Arsenal,Premier League,France,6.82,14.923598477374535,-0.2494620926225026,Underrated Performers
