sample,spec,predictors,k,n,SPV,R2,adjR2,CV_R2,significant
all players,Baseline predictors,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + minutes,5,141,28.2,0.471,0.439,0.391,"G_plus_A, log_club_ig"
outfield only,Baseline predictors,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + minutes,5,129,25.8,0.494,0.465,0.444,"G_plus_A, ucl_stage_ord, log_club_ig"
all players,Baseline without minutes,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig,4,141,35.2,0.464,0.436,0.389,"G_plus_A, log_club_ig"
outfield only,Baseline without minutes,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig,4,129,32.2,0.489,0.464,0.444,"G_plus_A, ucl_stage_ord, log_club_ig"
all players,Base + key passes,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes,5,141,28.2,0.529,0.5,0.447,"log_club_ig, key_passes"
outfield only,Base + key passes,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes,5,129,25.8,0.565,0.54,0.489,"ucl_stage_ord, log_club_ig, key_passes"
all players,Base + shots,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg,5,141,28.2,0.493,0.463,0.424,"log_club_ig, shots_pg"
outfield only,Base + shots,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg,5,129,25.8,0.521,0.493,0.464,"ucl_stage_ord, log_club_ig, shots_pg"
all players,Base + dribbles,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + dribbles,5,141,28.2,0.478,0.447,0.393,"G_plus_A, log_club_ig"
outfield only,Base + dribbles,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + dribbles,5,129,25.8,0.505,0.476,0.435,"G_plus_A, ucl_stage_ord, log_club_ig"
all players,Base + long balls,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + long_balls,5,141,28.2,0.519,0.49,0.44,"G_plus_A, log_club_ig, long_balls"
outfield only,Base + long balls,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + long_balls,5,129,25.8,0.561,0.535,0.517,"G_plus_A, ucl_stage_ord, log_club_ig, long_balls"
all players,Base + tackles and interceptions,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + tackles + interceptions,6,141,23.5,0.467,0.431,0.362,"G_plus_A, log_club_ig"
outfield only,Base + tackles and interceptions,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + tackles + interceptions,6,129,21.5,0.493,0.46,0.43,"G_plus_A, ucl_stage_ord, log_club_ig"
all players,Base + key passes and shots,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + shots_pg,6,141,23.5,0.545,0.514,0.469,"log_club_ig, key_passes"
outfield only,Base + key passes and shots,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + shots_pg,6,129,21.5,0.583,0.555,0.509,"ucl_stage_ord, log_club_ig, key_passes"
all players,Base + key passes and long balls,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + long_balls,6,141,23.5,0.567,0.537,0.494,"G_plus_A, ucl_stage_ord, log_club_ig, key_passes, long_balls"
outfield only,Base + key passes and long balls,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + long_balls,6,129,21.5,0.616,0.59,0.542,"ucl_stage_ord, log_club_ig, key_passes, long_balls"
all players,"Base + key passes, shots and dribbles",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + shots_pg + dribbles,7,141,20.1,0.545,0.51,0.462,"log_club_ig, key_passes"
outfield only,"Base + key passes, shots and dribbles",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + shots_pg + dribbles,7,129,18.4,0.583,0.551,0.499,"ucl_stage_ord, log_club_ig, key_passes"
all players,"Key passes, long balls and shots, G+A dropped (FINAL)",team_league_position + ucl_stage_ord + log_club_ig + key_passes + long_balls + shots_pg,6,141,23.5,0.587,0.559,0.525,"log_club_ig, key_passes, long_balls, shots_pg"
outfield only,"Key passes, long balls and shots, G+A dropped (FINAL)",team_league_position + ucl_stage_ord + log_club_ig + key_passes + long_balls + shots_pg,6,129,21.5,0.638,0.614,0.57,"ucl_stage_ord, log_club_ig, key_passes, long_balls, shots_pg"
all players,Full specification,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + shots_pg + dribbles + long_balls + tackles + interceptions,10,141,14.1,0.59,0.548,0.499,"log_club_ig, key_passes, long_balls"
outfield only,Full specification,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + shots_pg + dribbles + long_balls + tackles + interceptions,10,129,12.9,0.641,0.604,0.544,"ucl_stage_ord, log_club_ig, key_passes, long_balls"
