sample,spec,predictors,k,n,SPV,R2,adjR2,CV_R2,significant
Forward,"Minutes, shots and dribbles",G_plus_A + team_league_position + log_club_ig + minutes + shots_pg + dribbles,6,47,7.8,0.597,0.536,0.308,log_club_ig
Forward,"Key passes, shots and dribbles",G_plus_A + team_league_position + log_club_ig + key_passes + shots_pg + dribbles,6,47,7.8,0.615,0.557,0.384,"log_club_ig, shots_pg"
Forward,"Dispossessed, shots and dribbles",G_plus_A + team_league_position + log_club_ig + dispossessed + shots_pg + dribbles,6,47,7.8,0.591,0.53,0.335,log_club_ig
Forward,"Goals per 90, shots and dribbles",G_plus_A + team_league_position + log_club_ig + goals_p90 + shots_pg + dribbles,6,47,7.8,0.593,0.532,0.32,log_club_ig
Forward,Shots and dribbles,G_plus_A + team_league_position + log_club_ig + shots_pg + dribbles,5,47,9.4,0.591,0.541,0.375,log_club_ig
Forward,"Brand, key passes, shots, dribbles and fouled",log_club_ig + key_passes + shots_pg + dribbles + fouled,5,47,9.4,0.634,0.59,0.463,"log_club_ig, key_passes, shots_pg"
Forward,"Brand, key passes, shots and fouled (FINAL)",log_club_ig + key_passes + shots_pg + fouled,4,47,11.8,0.622,0.586,0.47,"log_club_ig, key_passes, shots_pg"
Midfielder,"Minutes, key passes, passes and long balls",G_plus_A + team_league_position + log_club_ig + minutes + key_passes + passes_pg + long_balls,7,49,7.0,0.609,0.542,0.372,"log_club_ig, key_passes"
Midfielder,"Pass accuracy, key passes, passes and long balls",G_plus_A + team_league_position + log_club_ig + pass_pct + key_passes + passes_pg + long_balls,7,49,7.0,0.605,0.537,0.328,"log_club_ig, key_passes"
Midfielder,"Dribbles, key passes, passes and long balls",G_plus_A + team_league_position + log_club_ig + dribbles + key_passes + passes_pg + long_balls,7,49,7.0,0.608,0.541,0.386,"log_club_ig, key_passes"
Midfielder,Key passes and pass accuracy,G_plus_A + team_league_position + log_club_ig + key_passes + pass_pct,5,49,9.8,0.604,0.558,0.414,"log_club_ig, key_passes"
Midfielder,Key passes and dribbles,G_plus_A + team_league_position + log_club_ig + key_passes + dribbles,5,49,9.8,0.602,0.556,0.433,"log_club_ig, key_passes"
Midfielder,Key passes only,G_plus_A + team_league_position + log_club_ig + key_passes,4,49,12.2,0.596,0.56,0.434,"log_club_ig, key_passes"
Midfielder,"G+A, brand, key passes and fouled (FINAL)",G_plus_A + log_club_ig + key_passes + fouled,4,49,12.2,0.64,0.607,0.51,"log_club_ig, key_passes, fouled"
Defender,"Minutes, tackles and interceptions",G_plus_A + team_league_position + log_club_ig + minutes + tackles + interceptions,6,33,5.5,0.498,0.383,-0.07,log_club_ig
Defender,"Long balls, tackles and interceptions",G_plus_A + team_league_position + log_club_ig + long_balls + tackles + interceptions,6,33,5.5,0.609,0.519,0.385,"G_plus_A, log_club_ig"
Defender,"Clearances, tackles and interceptions",G_plus_A + team_league_position + log_club_ig + clearances + tackles + interceptions,6,33,5.5,0.529,0.42,0.254,log_club_ig
Defender,Long balls and clearances,G_plus_A + team_league_position + log_club_ig + long_balls + clearances,5,33,6.6,0.591,0.516,0.429,"G_plus_A, log_club_ig"
Defender,Tackles and interceptions,G_plus_A + team_league_position + log_club_ig + tackles + interceptions,5,33,6.6,0.498,0.405,0.173,log_club_ig
Defender,Long balls only,G_plus_A + team_league_position + log_club_ig + long_balls,4,33,8.2,0.587,0.528,0.453,"G_plus_A, log_club_ig, long_balls"
Defender,"G+A, brand, long balls and crosses (FINAL)",G_plus_A + log_club_ig + long_balls + crosses,4,33,8.2,0.623,0.569,0.521,"G_plus_A, log_club_ig, long_balls"
Defender,"Brand, tackles and interceptions (no G+A)",log_club_ig + tackles + interceptions,3,33,11.0,0.373,0.308,0.067,log_club_ig
Defender,"Brand, long balls, crosses and blocks (no G+A)",log_club_ig + long_balls + crosses + blocks,4,33,8.2,0.537,0.47,0.362,"log_club_ig, long_balls"
