,coef_900,p_900,coef_450,p_450
Intercept,5.3153,0.0002,5.3147,0.0002
C(position_group)[T.Forward],0.0261,0.9395,0.0218,0.9483
C(position_group)[T.Goalkeeper],0.5385,0.2347,0.538,0.2347
C(position_group)[T.Midfielder],-0.0086,0.9707,-0.0127,0.9552
G_plus_A,0.0528,0.0013,0.0529,0.0012
minutes,-0.0002,0.2736,-0.0002,0.2382
team_league_position,-0.0037,0.9294,-0.0036,0.9307
ucl_stage_ord,-0.1027,0.1092,-0.1032,0.103
log_club_ig,0.6068,0.0,0.6076,0.0
Model n,141.0,,142.0,
R2,0.471,,0.474,
Adjusted R2,0.439,,0.442,
