player_name,window,previous_club,new_club,pre_event,post_event,ratio
Gianluigi Donnarumma,Summer,Paris Saint-Germain,Manchester City,0.064,0.18,2.81
Khvicha Kvaratskhelia,Mid-season,Napoli,Paris Saint-Germain,0.05,0.148,2.94
Viktor Gyökeres,Summer,Sporting CP,Arsenal,0.155,0.595,3.84
Florian Wirtz,Summer,Bayer Leverkusen,Liverpool,0.071,0.391,5.53
Luis Díaz,Summer,Liverpool,Bayern Munich,0.069,0.192,2.79
Alexander Isak,Summer,Newcastle,Liverpool,0.078,0.177,2.28
Trent Alexander-Arnold,Summer,Liverpool,Real Madrid,0.125,0.286,2.28
Eberechi Eze,Summer,Crystal Palace,Arsenal,0.022,0.087,3.9
Bryan Mbeumo,Summer,Brentford,Manchester United,0.023,0.269,11.52
Martín Zubimendi,Summer,Real Sociedad,Arsenal,0.047,0.119,2.53
Antoine Semenyo,Summer,Bournemouth,Manchester City,0.015,0.015,1.03
Hugo Ekitiké,Summer,Eintracht Frankfurt,Liverpool,0.015,0.106,6.97
Nick Woltemade,Summer,Stuttgart,Newcastle,0.015,0.09,6.08
Tijjani Reijnders,Summer,AC Milan,Manchester City,0.032,0.078,2.45
Dean Huijsen,Summer,Bournemouth,Real Madrid,0.035,0.233,6.71
Joan García,Summer,Espanyol,Barcelona,0.013,0.082,6.12
Estêvão,Summer,Palmeiras,Chelsea,0.039,0.101,2.59
Kevin De Bruyne,Summer,Manchester City,Napoli,0.156,0.308,1.97
João Pedro,Summer,Brighton,Chelsea,0.029,0.379,13.11
Theo Hernández,Summer,AC Milan,Al Hilal,0.046,0.102,2.2
Granit Xhaka,Summer,Bayer Leverkusen,Sunderland,0.024,0.043,1.75
Miloš Kerkez,Summer,Bournemouth,Liverpool,0.019,0.08,4.2
Álvaro Carreras,Summer,Benfica,Real Madrid,0.014,0.142,9.93
Antony,Mid-season,Manchester United,Real Betis,0.116,0.202,1.74
Marcus Rashford,Mid-season,Manchester United,Aston Villa,0.123,0.234,1.9
Marcus Rashford,Summer,Aston Villa,Barcelona,0.171,0.222,1.3
Mohammed Kudus,Summer,West Ham,Tottenham,0.022,0.062,2.77
Jeremie Frimpong,Summer,Bayer Leverkusen,Liverpool,0.026,0.109,4.14
Rodrigo De Paul,Summer,Atletico Madrid,Inter Miami,0.035,0.064,1.82
Thiago Almada,Summer,Lyon,Atletico Madrid,0.039,0.043,1.12
Xavi Simons,Summer,RB Leipzig,Tottenham,0.037,0.051,1.38
Ademola Lookman,Summer,Atalanta,Atletico Madrid,0.054,0.064,1.18
Benjamin Šeško,Summer,RB Leipzig,Manchester United,0.027,0.112,4.07
Jonathan David,Summer,Lille,Juventus,0.032,0.064,2.01
Matheus Cunha,Summer,Wolves,Manchester United,0.045,0.116,2.56
Mateo Retegui,Summer,Atalanta,Al Qadsiah,0.036,0.049,1.35
