sample,spec,predictors,k,n,SPV,R2,adjR2,CV_R2,significant
all players,Baseline predictors,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + minutes,5,141,28.2,0.459,0.426,0.379,"G_plus_A, log_club_ig"
all players,Baseline without minutes,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig,4,141,35.2,0.447,0.418,0.374,"G_plus_A, log_club_ig"
all players,Follower final predictors,team_league_position + ucl_stage_ord + log_club_ig + key_passes + long_balls + shots_pg,6,141,23.5,0.543,0.512,0.483,"log_club_ig, long_balls, shots_pg"
all players,"Shots and long balls, G+A dropped (FINAL)",team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls,5,141,28.2,0.543,0.515,0.486,"log_club_ig, shots_pg, long_balls"
all players,Full specification,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + shots_pg + dribbles + long_balls + tackles + interceptions,10,141,14.1,0.55,0.504,0.423,"log_club_ig, shots_pg, long_balls"
all players,Base + key passes,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes,5,141,28.2,0.453,0.42,0.375,"G_plus_A, log_club_ig"
all players,Base + shots,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg,5,141,28.2,0.523,0.495,0.448,"log_club_ig, shots_pg"
all players,Base + dribbles,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + dribbles,5,141,28.2,0.468,0.436,0.373,"G_plus_A, log_club_ig"
all players,Base + long balls,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + long_balls,5,141,28.2,0.464,0.431,0.382,"G_plus_A, log_club_ig"
all players,Base + fouled,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + fouled,5,141,28.2,0.454,0.42,0.375,"G_plus_A, log_club_ig"
all players,Base + crosses,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + crosses,5,141,28.2,0.451,0.418,0.368,"G_plus_A, log_club_ig"
all players,Base + tackles,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + tackles,5,141,28.2,0.447,0.414,0.364,"G_plus_A, log_club_ig"
all players,Base + interceptions,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + interceptions,5,141,28.2,0.447,0.414,0.372,"G_plus_A, log_club_ig"
all players,Base + passes,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + passes_pg,5,141,28.2,0.448,0.415,0.368,"G_plus_A, log_club_ig"
all players,Base + pass accuracy,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + pass_pct,5,141,28.2,0.448,0.414,0.35,"G_plus_A, log_club_ig"
all players,Base + goals per 90,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + goals_p90,5,141,28.2,0.459,0.426,0.362,log_club_ig
all players,Base + shots and fouled,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + fouled,6,141,23.5,0.525,0.492,0.438,"log_club_ig, shots_pg"
all players,Base + shots and crosses,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + crosses,6,141,23.5,0.524,0.491,0.432,"log_club_ig, shots_pg"
all players,Base + shots and dribbles,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + dribbles,6,141,23.5,0.526,0.494,0.432,"log_club_ig, shots_pg"
all players,Base + long balls and crosses,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + long_balls + crosses,6,141,23.5,0.466,0.43,0.38,"G_plus_A, log_club_ig"
all players,Base + shots and long balls,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls,6,141,23.5,0.543,0.512,0.466,"log_club_ig, shots_pg, long_balls"
all players,"Base + shots, long balls and fouled",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls + fouled,7,141,20.1,0.547,0.512,0.458,"log_club_ig, shots_pg, long_balls"
all players,"Base + shots, long balls and crosses",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls + crosses,7,141,20.1,0.543,0.508,0.454,"log_club_ig, shots_pg, long_balls"
all players,"Base + shots, long balls and dribbles",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls + dribbles,7,141,20.1,0.549,0.514,0.454,"log_club_ig, shots_pg, long_balls"
all players,"Base + shots, long balls and key passes",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls + key_passes,7,141,20.1,0.543,0.508,0.463,"log_club_ig, shots_pg, long_balls"
all players,"Base + shots, long balls, tackles and interceptions",G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls + tackles + interceptions,8,141,17.6,0.544,0.505,0.45,"log_club_ig, shots_pg, long_balls"
outfield only,Baseline predictors,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + minutes,5,129,25.8,0.468,0.437,0.379,"G_plus_A, ucl_stage_ord, log_club_ig"
outfield only,Baseline without minutes,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig,4,129,32.2,0.459,0.433,0.403,"G_plus_A, ucl_stage_ord, log_club_ig"
outfield only,Follower final predictors,team_league_position + ucl_stage_ord + log_club_ig + key_passes + long_balls + shots_pg,6,129,21.5,0.562,0.533,0.488,"ucl_stage_ord, log_club_ig, long_balls, shots_pg"
outfield only,"Shots and long balls, G+A dropped (FINAL)",team_league_position + ucl_stage_ord + log_club_ig + shots_pg + long_balls,5,129,25.8,0.562,0.537,0.5,"ucl_stage_ord, log_club_ig, shots_pg, long_balls"
outfield only,Full specification,G_plus_A + team_league_position + ucl_stage_ord + log_club_ig + key_passes + shots_pg + dribbles + long_balls + tackles + interceptions,10,129,12.9,0.57,0.526,0.459,"log_club_ig, shots_pg, long_balls"
